city,date,duration,latitude,longitude
Tallinn,1536760800,2d,59.43696079999999,24.7535747
Brisbane,1515157200,1w 5d,-27.4704528,153.0260341
London,1549112400,4d,51.5072178,-0.1275862
Tokyo,1526738400,1w 6d,35.6761919,139.6503106
Delhi,1503410400,1d,28.7040592,77.10249019999999
Ahmedabad,1503583200,2d,23.022505,72.5713621
Los Angeles,1534341600,1w 5d,34.0522342,-118.2436849
Hangzhou,1539435600,3d,30.2741499,120.15515
Munich,1543064400,2w 3d,48.1351253,11.5819805
Los Angeles,1567087200,6w 2d,34.0522342,-118.2436849
Vancouver,1573304400,1w 4d,49.2827291,-123.1207375
Los Angeles,1516366800,2w,34.0522342,-118.2436849
Boston,1549890000,1w 2d,42.3600825,-71.0588801
Los Angeles,1523800800,4d,34.0522342,-118.2436849
Los Angeles ,1506434400,1w 5d,34.0522342,-118.2436849
Dusseldorf,1525615200,1d,51.2277411,6.7734556
Ljubljana,1551099600,1w 5d,46.0569465,14.5057515
London,1521723600,1w 1d,51.5072178,-0.1275862
Vienna,1498399200,,48.2081743,16.3738189
Los Angeles,1499263200,4d,34.0522342,-118.2436849
London,1505311200,1w 6d,51.5072178,-0.1275862
Istanbul,1523109600,2d,41.0082376,28.9783589
Berlin,1531922400,1w 3d,52.52000659999999,13.404954
Chicago,1556460000,2w 2d,41.8781136,-87.6297982
London,1498572000,2d,51.5072178,-0.1275862
Moscow,1543237200,2d,55.755826,37.6172999
Moscow,1558965600,1w 5d,55.755826,37.6172999
Los Angeles,1560952800,1w 1d,34.0522342,-118.2436849
Saint Petersburg,1507467600,2d,59.9310584,30.3609096
Shenzhen,1512306000,2d,22.5428599,114.05956
Copenhagen,1511701200,3w 3d,55.6760968,12.5683372
London,1509282000,1d,51.5072178,-0.1275862
Berlin,1520082000,1d,52.52000659999999,13.404954
Melbourne,1513861200,2d,-37.8136276,144.9630576
Denver,1521982800,1d,39.7392358,-104.990251
London,1527516000,1d,51.5072178,-0.1275862
Moscow,1536501600,0w,55.755826,37.6172999
Tokyo,1557237600,3d,35.6761919,139.6503106
Rome,1519736400,6d,41.9027835,12.4963655
